0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:18:08 -0800] "GET /BookShop/css/lightbox.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:11 -0800] "GET /BookShop/index1.jsp HTTP/1.1" 200 10030
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/slider.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/js/jquery.lightbox.js HTTP/1.1" 200 19616
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/images/logo.png HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/lightbox.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /BookShop/resource/js/jquery.nivo.slider.js HTTP/1.1" 200 29119
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon1.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/pic1.jpg HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery1.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery3.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery2.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery4.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery5.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery6.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon1.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/css/lightbox.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery1.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/pic1.jpg HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery4.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery3.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery6.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery5.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/icon3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/gallery2.jpg HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:12 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:15 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:15 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:16 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:18 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:18 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:19 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:23 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:23 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:25 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:26 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:26 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:28 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:29 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:29 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:31 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:32 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:32 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:34 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:36 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:36 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:37 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:38 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:38 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:40 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:41 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:41 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:42 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:44 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:44 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:46 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:47 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:47 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:49 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:50 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:50 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:52 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:53 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:53 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:55 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:56 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:56 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:58 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:59 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:38:59 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:01 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:02 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:02 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:04 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:05 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:05 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:07 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:08 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:08 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:10 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:11 -0800] "GET /resource/images/banner1.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:11 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:12 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:14 -0800] "GET /resource/images/banner2.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [22/Jan/2016:15:39:14 -0800] "GET /resource/images/banner3.jpg HTTP/1.1" 404 1048
